document_id,publication_year,hdbscan_label
2464,2022,1
2466,2022,-1
2481,2022,-1
2489,2022,0
2501,2022,-1
2510,2022,-1
2514,2022,0
2517,2022,0
2519,2022,0
2522,2022,0
2523,2022,0
2525,2022,1
2533,2022,0
2535,2022,-1
2536,2022,-1
2542,2022,0
2543,2022,-1
2567,2022,-1
2594,2022,-1
2596,2022,0
2620,2022,-1
2624,2022,-1
2628,2022,0
2635,2022,0
2636,2022,1
2637,2022,-1
2641,2022,-1
2642,2022,0
2644,2022,0
2651,2022,0
2652,2022,-1
2653,2022,0
2657,2022,0
2660,2022,-1
2664,2022,1
2681,2022,-1
2682,2022,-1
2684,2022,0
2685,2022,0
2686,2022,-1
2687,2022,0
2688,2022,0
2689,2022,0
2691,2022,0
2692,2022,0
2694,2022,0
2696,2022,0
2697,2022,-1
2706,2022,0
2714,2022,-1
2718,2022,0
2721,2022,-1
2723,2022,-1
2726,2022,-1
2727,2022,-1
2730,2022,-1
2736,2022,0
2739,2022,-1
2762,2022,1
2768,2022,1
2769,2022,-1
2770,2022,0
2789,2022,0
2790,2022,0
2833,2022,0
2834,2022,0
2835,2022,0
2836,2022,0
2837,2022,0
2838,2022,0
2839,2022,0
2840,2022,0
2841,2022,0
2842,2022,0
2843,2022,0
2844,2022,0
2845,2022,0
2846,2022,0
2847,2022,0
2848,2022,0
2849,2022,0
2850,2022,0
2851,2022,0
2852,2022,0
2853,2022,0
2854,2022,0
2855,2022,0
2856,2022,0
2857,2022,0
2858,2022,0
2859,2022,0
2860,2022,0
2861,2022,0
2865,2022,0
2866,2022,0
2867,2022,-1
2868,2022,-1
2872,2022,-1
2892,2022,-1
2894,2022,-1
2895,2022,-1
2907,2022,0
2912,2022,-1
2914,2022,-1
2915,2022,-1
2916,2022,0
2931,2022,-1
2937,2022,0
2938,2022,-1
2958,2022,-1
2959,2022,-1
2960,2022,-1
2967,2022,-1
2968,2022,-1
2969,2022,0
2970,2022,0
2971,2022,-1
2972,2022,0
2974,2022,-1
2981,2022,-1
2989,2022,-1
2993,2022,0
2997,2022,1
2999,2022,-1
3002,2022,-1
3007,2022,-1
3034,2022,-1
3057,2022,0
3066,2022,0
3068,2022,0
3069,2022,0
3080,2022,0
3094,2022,1
3105,2022,0
3142,2022,0
3162,2022,0
3163,2022,0
3166,2022,-1
3184,2022,-1
3186,2022,0
3187,2022,-1
3188,2022,0
3189,2022,0
3190,2022,0
